signal_date,entry_date,exit_date,entry_px,exit_px,net_ret
2020-02-24,2020-02-25,2020-03-02,11877.5,11132.75,-0.06363958646452139
2020-03-06,2020-03-09,2020-03-16,10742.0498046875,9197.400390625,-0.14465059277564174
2020-03-16,2020-03-17,2020-03-23,9285.400390625,7610.25,-0.18122624066173332
2020-03-23,2020-03-24,2020-03-30,7848.2998046875,8281.099609375,0.05409086873141167
2020-03-30,2020-03-31,2020-04-08,8529.349609375,8748.75,0.024697597039949448
2020-04-21,2020-04-22,2020-04-28,9026.75,9380.900390625,0.0381945319768735
2020-05-04,2020-05-05,2020-05-11,9429.400390625,9239.2001953125,-0.021150490094070773
2020-05-14,2020-05-15,2020-05-21,9182.400390625,9106.25,-0.009284470680969825
2020-06-11,2020-06-12,2020-06-18,9544.9501953125,10091.650390625,0.05621944196919881
2020-08-31,2020-09-01,2020-09-07,11464.2998046875,11355.0498046875,-0.01051973683259888
2020-09-21,2020-09-22,2020-09-28,11301.75,11227.5498046875,-0.007558488996807555
2020-10-15,2020-10-16,2020-10-22,11727.400390625,11896.4501953125,0.013400852308296907
2020-12-21,2020-12-22,2020-12-29,13373.650390625,13932.599609375,0.04075335161019722
2021-02-22,2021-02-23,2021-03-01,14782.25,14761.5498046875,-0.002398621479531182
2021-04-12,2021-04-13,2021-04-20,14364.900390625,14296.400390625,-0.005763480720779479
2021-11-26,2021-11-29,2021-12-03,17055.80078125,17196.69921875,0.007253088946760355
2021-12-20,2021-12-21,2021-12-27,16773.150390625,17086.25,0.017648373679827856
2022-01-24,2022-01-25,2022-02-01,17001.55078125,17576.849609375,0.032804513491668796
2022-02-14,2022-02-15,2022-02-21,16933.25,17206.650390625,0.015129951147091925
2022-02-24,2022-02-25,2022-03-04,16515.650390625,16245.349609375,-0.017349660873764328
2022-03-07,2022-03-08,2022-03-14,15747.75,16871.30078125,0.07027574594500519
2022-05-04,2022-05-05,2022-05-11,16854.75,16167.099609375,-0.041757505616932145
2022-05-12,2022-05-13,2022-05-19,15977.0,15809.400390625,-0.011479248405151132
2022-05-19,2022-05-20,2022-05-26,16043.7998046875,16170.150390625,0.006867800041242322
2022-06-13,2022-06-14,2022-06-20,15674.25,15350.150390625,-0.021656209943041183
2024-01-17,2024-01-18,2024-01-25,21414.19921875,21352.599609375,-0.003873382173738671
2024-06-04,2024-06-05,2024-06-11,22128.349609375,23264.849609375,0.05030843299683796
2024-08-05,2024-08-06,2024-08-12,24189.849609375,24347.0,0.005490368160686154
2024-10-03,2024-10-04,2024-10-10,25181.900390625,24998.44921875,-0.008277438158208916
2025-04-07,2025-04-08,2025-04-16,22446.75,23437.19921875,0.04308060266788383
2026-03-13,2026-03-16,2026-03-20,23116.099609375,23114.5,-0.0010688098178990302
2026-03-23,2026-03-24,2026-04-01,22878.44921875,22679.400390625,-0.009691258810364811
2026-07-08,2026-07-09,2026-07-15,23928.94921875,24078.5,0.005243856873203612
